,OBSTRUCTIVE⇔SUPPORTIVE,COMPLICATED⇔EASY,INEFFICIENT⇔EFFICIENT,CONFUSING⇔CLEAR,BORING⇔EXCITING,NOT_INTERESTING⇔INTERESTING,CONVENTIONAL⇔INVENTIVE,USUAL⇔LEADING_EDGE
3,4,4,5,4,6,6,6,6
5,3,2,3,1,5,5,5,6
10,5,5,5,5,4,4,4,4
12,6,6,6,6,6,6,2,2
19,6,6,6,6,7,7,6,6
20,5,5,4,6,6,6,6,5
26,5,6,5,4,6,6,5,5
29,4,4,5,4,4,5,4,4
35,5,4,4,4,5,5,5,5
37,4,4,4,4,4,3,4,4
42,7,7,7,7,7,7,7,6
44,6,6,6,6,7,4,5,4
51,3,3,4,3,3,3,3,4
52,6,6,6,6,6,6,2,4
58,3,3,4,3,4,4,2,2
61,7,7,7,7,6,6,6,5
