,OBSTRUCTIVE⇔SUPPORTIVE,COMPLICATED⇔EASY,INEFFICIENT⇔EFFICIENT,CONFUSING⇔CLEAR,BORING⇔EXCITING,NOT_INTERESTING⇔INTERESTING,CONVENTIONAL⇔INVENTIVE,USUAL⇔LEADING_EDGE
2,7,7,7,7,6,7,6,6
4,5,6,5,6,7,4,5,6
11,5,5,4,3,4,4,4,4
13,6,6,6,6,6,6,6,2
18,5,6,7,5,7,7,5,5
21,3,4,4,3,5,5,5,5
27,5,6,6,3,6,6,6,6
28,6,6,6,6,6,6,4,4
34,6,7,6,6,6,6,6,6
36,3,4,3,3,3,3,4,5
43,7,7,6,7,7,7,6,6
45,5,6,6,6,4,4,4,3
50,6,6,6,5,4,3,3,3
53,7,7,7,7,7,7,4,4
59,6,6,6,6,4,4,5,5
60,6,5,5,5,6,6,5,5
